Dimension,country_code,country_name,ParentDimension,ParentCode,ParentTitle
COUNTRY,ABW,Aruba,REGION,AMR,Americas
,AFE,Africa Eastern and Southern,,,
,AFW,Africa Western and Central,,,
COUNTRY,AGO,Angola,REGION,AFR,Africa
COUNTRY,ALB,Albania,REGION,EUR,Europe
,ARB,Arab World,,,
COUNTRY,ARE,United Arab Emirates,REGION,EMR,Eastern Mediterranean
COUNTRY,ARG,Argentina,REGION,AMR,Americas
COUNTRY,ARM,Armenia,REGION,EUR,Europe
COUNTRY,ATG,Antigua and Barbuda,REGION,AMR,Americas
COUNTRY,AUS,Australia,REGION,WPR,Western Pacific
COUNTRY,AUT,Austria,REGION,EUR,Europe
COUNTRY,AZE,Azerbaijan,REGION,EUR,Europe
COUNTRY,BDI,Burundi,REGION,AFR,Africa
COUNTRY,BEL,Belgium,REGION,EUR,Europe
COUNTRY,BEN,Benin,REGION,AFR,Africa
COUNTRY,BFA,Burkina Faso,REGION,AFR,Africa
COUNTRY,BGD,Bangladesh,REGION,SEAR,South-East Asia
COUNTRY,BGR,Bulgaria,REGION,EUR,Europe
COUNTRY,BHR,Bahrain,REGION,EMR,Eastern Mediterranean
COUNTRY,BHS,Bahamas,REGION,AMR,Americas
COUNTRY,BLR,Belarus,REGION,EUR,Europe
COUNTRY,BLZ,Belize,REGION,AMR,Americas
COUNTRY,BMU,Bermuda,REGION,AMR,Americas
COUNTRY,BOL,Bolivia (Plurinational State of),REGION,AMR,Americas
COUNTRY,BRA,Brazil,REGION,AMR,Americas
COUNTRY,BRB,Barbados,REGION,AMR,Americas
COUNTRY,BRN,Brunei Darussalam,REGION,WPR,Western Pacific
COUNTRY,BTN,Bhutan,REGION,SEAR,South-East Asia
COUNTRY,BWA,Botswana,REGION,AFR,Africa
COUNTRY,CAF,Central African Republic,REGION,AFR,Africa
,CEB,Central Europe and the Baltics,,,
COUNTRY,CHE,Switzerland,REGION,EUR,Europe
COUNTRY,CHL,Chile,REGION,AMR,Americas
COUNTRY,CHN,China,REGION,WPR,Western Pacific
COUNTRY,CIV,Côte d'Ivoire,REGION,AFR,Africa
COUNTRY,CMR,Cameroon,REGION,AFR,Africa
COUNTRY,COD,Democratic Republic of the Congo,REGION,AFR,Africa
COUNTRY,COG,Congo,REGION,AFR,Africa
COUNTRY,COL,Colombia,REGION,AMR,Americas
COUNTRY,COM,Comoros,REGION,AFR,Africa
COUNTRY,CPV,Cabo Verde,REGION,AFR,Africa
COUNTRY,CRI,Costa Rica,REGION,AMR,Americas
,CSS,Caribbean small states,,,
COUNTRY,CYP,Cyprus,REGION,EUR,Europe
COUNTRY,CZE,Czechia,REGION,EUR,Europe
COUNTRY,DEU,Germany,REGION,EUR,Europe
COUNTRY,DMA,Dominica,REGION,AMR,Americas
COUNTRY,DNK,Denmark,REGION,EUR,Europe
COUNTRY,DOM,Dominican Republic,REGION,AMR,Americas
COUNTRY,DZA,Algeria,REGION,AFR,Africa
,EAP,East Asia & Pacific (excluding high income),,,
,EAR,Early-demographic dividend,,,
,EAS,East Asia & Pacific,,,
,ECA,Europe & Central Asia (excluding high income),,,
,ECS,Europe & Central Asia,,,
COUNTRY,ECU,Ecuador,REGION,AMR,Americas
COUNTRY,EGY,Egypt,REGION,EMR,Eastern Mediterranean
,EMU,Euro area,,,
COUNTRY,ESP,Spain,REGION,EUR,Europe
COUNTRY,ETH,Ethiopia,REGION,AFR,Africa
,EUU,European Union,,,
,FCS,Fragile and conflict affected situations,,,
COUNTRY,FIN,Finland,REGION,EUR,Europe
COUNTRY,FJI,Fiji,REGION,WPR,Western Pacific
COUNTRY,FRA,France,REGION,EUR,Europe
COUNTRY,FSM,Micronesia (Federated States of),REGION,WPR,Western Pacific
COUNTRY,GAB,Gabon,REGION,AFR,Africa
COUNTRY,GBR,United Kingdom of Great Britain and Northern Ireland,REGION,EUR,Europe
COUNTRY,GEO,Georgia,REGION,EUR,Europe
COUNTRY,GHA,Ghana,REGION,AFR,Africa
COUNTRY,GIN,Guinea,REGION,AFR,Africa
COUNTRY,GMB,Gambia,REGION,AFR,Africa
COUNTRY,GNB,Guinea-Bissau,REGION,AFR,Africa
COUNTRY,GNQ,Equatorial Guinea,REGION,AFR,Africa
COUNTRY,GRC,Greece,REGION,EUR,Europe
COUNTRY,GRD,Grenada,REGION,AMR,Americas
COUNTRY,GTM,Guatemala,REGION,AMR,Americas
COUNTRY,GUY,Guyana,REGION,AMR,Americas
,HIC,High income,,,
COUNTRY,HKG,"China, Hong Kong Special Administrative Region",,,
COUNTRY,HND,Honduras,REGION,AMR,Americas
,HPC,Heavily indebted poor countries (HIPC),,,
COUNTRY,HTI,Haiti,REGION,AMR,Americas
,IBD,IBRD only,,,
,IBT,IDA & IBRD total,,,
,IDA,IDA total,,,
,IDB,IDA blend,,,
COUNTRY,IDN,Indonesia,REGION,SEAR,South-East Asia
,IDX,IDA only,,,
COUNTRY,IND,India,REGION,SEAR,South-East Asia
COUNTRY,IRL,Ireland,REGION,EUR,Europe
COUNTRY,IRN,Iran (Islamic Republic of),REGION,EMR,Eastern Mediterranean
COUNTRY,ITA,Italy,REGION,EUR,Europe
COUNTRY,JAM,Jamaica,REGION,AMR,Americas
COUNTRY,JOR,Jordan,REGION,EMR,Eastern Mediterranean
COUNTRY,JPN,Japan,REGION,WPR,Western Pacific
COUNTRY,KAZ,Kazakhstan,REGION,EUR,Europe
COUNTRY,KEN,Kenya,REGION,AFR,Africa
COUNTRY,KGZ,Kyrgyzstan,REGION,EUR,Europe
COUNTRY,KIR,Kiribati,REGION,WPR,Western Pacific
COUNTRY,KNA,Saint Kitts and Nevis,REGION,AMR,Americas
COUNTRY,KOR,Republic of Korea,REGION,WPR,Western Pacific
